collocate,raw_frequency,MI
condition,1,2.8482911106207576
complex,5,6.933768529443787
mind,2,1.1417059368422748
simples,1,8.324650054570585
judge,10,5.013902556673412
acting,1,3.5457294217904125
must,1,-0.10298306013301022
unrivalled,3,8.034671769858452
declare,27,7.000983171070569
honesty,1,4.424978881984218
modesty,1,4.564600025260259
nice,3,3.530704089379524
looks,2,2.9798440208413943
everything,1,1.4520977087711147
might,4,1.3562985517411532
say,4,1.2905409118036595
adjured,27,10.034011795902137
memory,23,5.630024562146956
sweet,2,2.6560705130970503
fellow,3,2.5987131513690804
loved,5,3.3940760506959977
day,20,3.0291291951809582
new,4,2.2430519740391106
m,19,3.6847584776282956
am,7,1.8937172655368093
mu,23,12.131687427194404
gh,28,13.012586275455511
trial,3,4.752821145828864
may,1,0.21817297506289798
believe,1,1.1560666151701797
under,17,3.4334521811125644
taken,5,2.830765904478572
shouted,8,5.517070963909047
bulsted,5,6.6810661758880325
attempting,1,5.002564300761377
quench,1,6.575450199761325
flames,2,4.977992813565144
after,1,-0.04840369038326639
es,1,5.953198534865
forgot,14,5.7421252222079655
kingston,4,8.608889782831392
ballantyne,1,9.710944415690474
cooper,1,7.226037765902475
wood,1,2.072264591814362
wave,1,3.8761336786278693
n,1,2.443908395408145
book,1,1.6753417227718927
minded,21,6.516388202378628
lion,1,3.9609659068203125
nothing,3,1.387793616270633
alongside,6,6.493026904264085
long,14,2.794464418013404
john,1,1.6807817505154334
ing,6,7.241174094260451
alow,7,10.040543773023925
aloft,7,6.65276941169391
everyone,1,4.2386737420189995
spirits,1,2.7382713771459213
because,1,0.6308357958330464
were,5,0.5975111945500523
near,13,3.941508325665059
hand,57,4.152745349318379
lad,4,3.922715152474079
smart,17,6.639829989340083
answered,17,3.9985600979591656
poor,1,0.5863748112678012
sailors,10,6.766795859818023
hasn,18,6.489522664585052
mistook,1,5.536557145794838
will,2,0.08508922044247365
tell,1,0.3669929128896335
defies,60,11.341778177948996
turned,16,3.543729182253002
back,1,0.07864468231885964
directly,6,4.888972584913457
cool,16,5.940415455309869
ever,1,0.4062717713727297
saw,4,1.8692874947024833
mistake,25,6.2798713530839505
last,15,2.9900198790989396
merry,1,3.2791544093345326
seemed,12,2.837841663914276
ships,2,4.57106035376303
scuttled,14,9.627119555248193
deep,1,1.6926482771749538
walking,1,2.324385262992671
plank,1,4.923452672908429
blindfold,2,7.001745449384391
ho,1,4.253660398534595
here,1,0.04682324997544332
hay,3,4.943629316500137
fever,15,6.0127900987383205
gets,1,3.3901761214398918
quite,1,0.47408791951499407
cross,1,2.394043453910905
inquire,8,5.962289246294395
trust,3,3.362931369419173
ailing,1,5.740652502138353
ship,6,4.482005873588978
souls,1,3.6140202199074714
world,4,1.9989517657820806
fleet,2,4.867907415615121
accompanying,19,7.855781370401845
towards,3,2.299531671651147
cheerful,1,3.222954280555538
reliable,4,7.510277494163282
within,6,3.3583443895540332
reverted,1,5.9732747974071065
chaos,4,6.593986762289127
enjoy,1,3.225933713129623
margaret,1,2.65218626317181
about,2,0.2635086188320208
next,1,1.1651483525081265
wednesday,17,7.355450025752087
whose,2,1.9444807624809841
dome,1,5.506251796299509
stands,8,5.5637720569550275
welter,1,7.408359322696429
preaching,1,4.820595287468721
gospel,1,5.280127616847161
form,1,2.1359971614506006
wife,1,0.9660216073518937
just,2,1.0350630711156275
two,9,2.2435969943726666
questions,12,4.98884980009059
going,15,3.3049460441827376
amply,1,5.406879322486304
avenge,6,7.419435766303825
any,1,-0.2134670081997989
talk,1,1.1101107522913907
against,28,4.081963935280093
conventions,4,7.181773427191247
ich,9,9.336346756277395
revolted,1,5.7597006971090465
think,3,1.022947467551018
whatever,1,1.9906642794535951
father,25,3.4969787304680144
anger,5,4.427740686952486
girl,14,3.507106422468286
came,5,1.6229365489375598
taking,18,4.6028301586472695
parted,11,5.488061749497842
years,3,2.0336114232391553
ago,1,1.8887999818011345
high,8,3.3935338983379095
hopes,3,4.226621354813285
resolutions,7,7.912312067174657
worn,1,2.861968335928211
through,1,0.3957117066004557
dearest,2,3.7093588455722144
them,10,1.6581432990483784
heard,4,2.0419898143652295
suddenly,44,5.1486007463031145
recurred,7,7.294415063347211
bye,1,2.899801313167858
bore,2,3.5451209642115553
parting,3,4.565389803694848
child,8,3.0184452336928875
god,3,2.275778813995335
heaven,11,4.390467907883184
ble,8,9.58628850074633
fame,7,5.6192964251967625
taught,2,3.7735795776090977
feel,1,1.1954851404315108
ambition,1,3.405147471169223
vigorous,7,6.38729149655314
enough,3,1.820233410611782
dirty,1,3.5840752315762896
children,30,4.844950792135395
made,1,-0.034655521679108306
undine,4,4.881190336867873
able,23,5.044243413083743
anything,1,0.938844405786056
almost,3,2.020038062483679
figures,6,5.100043554993398
knights,1,5.0592855625212305
lovely,11,4.927261729377513
ladies,1,1.8733569424744299
whom,3,1.9200882003558961
dea,3,9.709795650486601
into,2,0.20629535517175307
starlight,13,7.677227450123278
great,2,0.7477956524581536
horror,16,5.939943845000165
upon,1,-0.20521168872999235
philip,25,5.330384373178703
bosinney,1,3.8761336786278693
light,24,4.022769538787843
gloves,4,5.153290636479791
buff,1,5.492586796897605
waistcoats,5,7.5545950484241065
o,3,2.152174875007991
keeping,2,3.368822996969323
their,1,-0.441209771625424
clear,34,5.184985386658346
unto,2,4.176406161759081
small,48,5.07421337829238
import,3,6.516801050949843
appearance,1,2.313920409103247
before,1,-0.16196826915911236
preserving,1,5.406879322486304
show,2,2.4464209787233644
london,24,4.417947210620538
arms,1,1.5700030869930848
holding,13,5.005348949231288
somehow,3,3.718851713422839
try,5,3.525559175945186
glad,3,2.783729141915104
told,1,0.681461018360047
glanced,5,4.417216876648729
known,4,2.8479863351108072
how,8,1.9132777840434307
restrained,2,5.39230753695029
himself,7,1.9666854254392754
ll,42,4.199299221430467
talking,1,1.9255426956450001
air,24,4.4374410053015385
something,20,3.5088755251090844
dered,2,10.402942831046547
dreamily,3,6.253383600497693
such,7,1.9036880898884803
colouring,1,4.776470482559783
death,1,1.4273109045638905
et,20,7.022026262175581
square,1,2.5856613241797635
pretty,18,4.316107801414568
trees,4,3.3849887597663337
doing,1,1.769383093390761
best,4,2.476493600694699
hoped,3,4.013794359518225
make,6,2.0807805979827187
spoke,25,4.516344980991229
pay,1,2.1763487831125836
three,13,3.3813092518602645
guineas,9,6.542429336368194
wee,3,7.280899967482072
part,9,3.314755775699047
confronted,1,4.6882139812274355
fact,1,1.604321756703415
soldier,9,5.4285634951072845
fronts,2,6.7393811849169
guns,3,5.096833474723364
grim,13,6.349826353226191
realised,1,4.312781714172722
amadis,1,4.485197741977273
de,2,2.9016165262885067
jocelyn,1,4.326449352901386
chivalrous,1,5.408029408869542
strong,7,3.478223838935118
birth,1,3.149390386146626
others,2,2.346168852797742
fastened,24,7.129563599912805
strange,3,2.5047467735840767
distance,4,3.7287881426671934
contented,1,3.8444763587571775
merely,1,2.539674340722186
giving,5,3.914415825851851
rs,1,9.01779723513053
lands,4,5.4239155096388725
though,2,1.0213623586422873
occasional,1,4.010500842299788
flashes,1,5.2111347453602095
chivalry,18,7.96910122338608
over,1,-0.11183336765558627
f,1,4.8654910483101474
myself,3,1.8810284636327492
nodded,19,5.9290755720473935
head,19,3.3317435867699556
promised,7,4.621670961791687
send,3,3.300880449332768
guinea,10,7.083256896819847
pig,4,5.668846415137989
dog,5,3.870917756264184
yelp,1,7.765034266635161
yo,1,3.247853992672315
lambs,3,6.296400985581384
burros,1,9.01779723513053
lions,7,7.152457730408616
led,1,2.0149731847910863
questioned,1,4.069037344752361
personal,3,3.806491245572122
tiger,2,5.70246246525413
killer,1,7.313049142892104
populace,3,6.875434859373908
deadly,1,3.9221343311764585
rifles,1,5.477987997476452
shoulders,1,2.5278327139471934
those,2,1.1425605500944886
fill,2,4.24173550935147
ecstatic,1,5.9732747974071065
gaze,19,5.953798710134189
mrs,1,0.08441594327810589
gould,1,3.3007695337243073
returned,3,2.7362397309864557
assumption,7,7.08563349399019
fearlessness,1,6.938355693450693
w,9,7.321560824898662
viction,1,9.710944415690474
place,1,0.5668499526436803
attack,24,6.710172182106446
gian,1,6.276957211205328
battista,8,8.317777175282822
doesn,1,2.4643019203058656
require,1,3.794742353083039
much,2,0.5875970509666899
pull,2,4.303772644230356
trigger,1,5.9732747974071065
behind,22,4.31870569309663
bush,2,4.579896935563528
mut,1,9.710944415690474
th,6,4.678071627622354
revolvers,1,6.82057265779431
ridiculous,1,3.7525197226606926
german,26,6.385353555275065
size,1,3.8276220272021955
tapped,1,4.551889116475945
thrown,1,2.748165567077347
overboard,1,5.125976937019902
even,1,0.22903698547951848
want,3,1.93444153078713
lives,1,2.495910678645933
senor,15,7.182674940725345
harm,4,4.240497339433314
trying,5,3.9988836570963757
save,1,1.9248566876019306
wait,1,2.1321694562821008
safe,3,3.585531896072754
silver,5,3.885048067125802
turn,3,2.6832730009723673
barrios,3,6.712915929876133
indubitably,2,7.144846293025064
opinion,6,3.9932193622094343
sotillo,1,4.680506494298039
ven,1,8.324650054570585
conducted,3,5.436622463970571
themselves,1,1.7507243003542008
faithfully,1,4.735360759653138
during,1,1.8940114588196835
famous,2,3.8273803249126104
cally,2,9.709795650486601
railway,3,4.545009676563087
neutral,3,6.781908801363085
spirit,1,2.00670555659764
