nodeA,nodeB,weight
James Ollerenshaw,James Ollerenshaw,2016
James Ollerenshaw,Ollerenshaw,3584
James Ollerenshaw,Jimmy Ollerenshaw,384
James,James Ollerenshaw,13632
Ephraim Tellwright,James Ollerenshaw,64
James Ollerenshaw,Susan,1920
James Ollerenshaw,Longshaw,896
James Ollerenshaw,Rathbone,192
Helen Rathbone's,James Ollerenshaw,64
James Ollerenshaw,Josiah Wedgwood,64
Helen,James Ollerenshaw,8192
James Ollerenshaw,Prockter,9216
Helen Rathbone,James Ollerenshaw,128
Bratt,James Ollerenshaw,448
Glasgow,James Ollerenshaw,768
James Ollerenshaw,Moorthorne,128
Avert,James Ollerenshaw,64
Emanuel Prockter,James Ollerenshaw,1728
James Ollerenshaw,Prockter  ,64
James Ollerenshaw,James Ollerenshaw's,192
James Ollerenshaw,Trafalgar,384
James Ollerenshaw,Nos,64
Beau Brummel,James Ollerenshaw,64
James Ollerenshaw,Whitaker,64
Butt,James Ollerenshaw,2304
James Ollerenshaw,Uncle,320
James Ollerenshaw,Mester Ollerenshaw,64
James Ollerenshaw,Susan - an afternoon,64
James Ollerenshaw,Prockter - a,64
George Frederick Handel,James Ollerenshaw,64
James Ollerenshaw,Robin Adair,64
James Ollerenshaw,Yorkshire,320
Confucius,James Ollerenshaw,64
James Ollerenshaw,Uncle James,448
James Ollerenshaw,Shakespearean,64
James Ollerenshaw,Sarah Swetnam,960
James Ollerenshaw,Swetnam,320
James Ollerenshaw,Sally,512
James Ollerenshaw,Sarah,1920
Brunt,James Ollerenshaw,320
James Ollerenshaw,Lilian,128
Andrew Dean,James Ollerenshaw,2304
James Ollerenshaw,Nell,64
James Ollerenshaw,Jane,64
James Ollerenshaw,Jimmy,1024
Dean,James Ollerenshaw,640
Churchman,James Ollerenshaw,64
Emanuel,James Ollerenshaw,384
Georgiana,James Ollerenshaw,1280
James Ollerenshaw,Jarndyce,320
James Ollerenshaw,Kiel,64
Flora Prockter,James Ollerenshaw,64
Flora,James Ollerenshaw,64
James Ollerenshaw,Ted,64
James Ollerenshaw,Ronald,64
James Ollerenshaw,Ronald Swetnam,64
James Ollerenshaw,Jos,192
James Ollerenshaw,Jos Swetman,64
James Ollerenshaw,Jos Swetnam,192
Emanuel Prockter's,James Ollerenshaw,64
James Ollerenshaw,Joe,64
Benskin,James Ollerenshaw,128
Andrew,James Ollerenshaw,640
James Ollerenshaw,Wilbrahams,256
Carey,James Ollerenshaw,64
James Ollerenshaw,Oldcastle,64
James Ollerenshaw,Miser,64
James Ollerenshaw,Ye,64
James Ollerenshaw,Machiavelli,64
Hanbridge,James Ollerenshaw,64
Crewe,James Ollerenshaw,256
Bass,James Ollerenshaw,64
Helen - she,James Ollerenshaw,64
Edinburgh,James Ollerenshaw,64
James Ollerenshaw,Welsh,64
Hurrah,James Ollerenshaw,64
Crump,James Ollerenshaw,384
Ezra Brunt,James Ollerenshaw,64
Hall,James Ollerenshaw,128
Emanuel Prockter - I,James Ollerenshaw,64
James Ollerenshaw,Ye'll,64
James Ollerenshaw,Light,64
Glad,James Ollerenshaw,64
James Ollerenshaw,Paisley,64
James Ollerenshaw,Swetnams,64
James Ollerenshaw,Joshua,64
James Ollerenshaw,Mont Blanc,64
Don Juan,James Ollerenshaw,64
James Ollerenshaw,Norseman,64
Buchanan,James Ollerenshaw,128
Derby,James Ollerenshaw,64
Bechstein,James Ollerenshaw,64
James Ollerenshaw,Wiltshire,192
Hush,James Ollerenshaw,64
James Ollerenshaw,Nottingham,64
James Ollerenshaw,Lilian Swetnam,64
Fritz,James Ollerenshaw,192
Dickens,James Ollerenshaw,64
Charles Dickens,James Ollerenshaw,64
Jimmy Ollerenshaw,Ollerenshaw,336
Ollerenshaw,Ollerenshaw,1540
James,Ollerenshaw,11928
Ephraim Tellwright,Ollerenshaw,56
Ollerenshaw,Susan,1680
Longshaw,Ollerenshaw,784
Ollerenshaw,Rathbone,168
Helen Rathbone's,Ollerenshaw,56
Josiah Wedgwood,Ollerenshaw,56
Helen,Ollerenshaw,7168
Ollerenshaw,Prockter,8064
Helen Rathbone,Ollerenshaw,112
Bratt,Ollerenshaw,392
Glasgow,Ollerenshaw,672
Moorthorne,Ollerenshaw,112
Avert,Ollerenshaw,56
Emanuel Prockter,Ollerenshaw,1512
Ollerenshaw,Prockter  ,56
James Ollerenshaw's,Ollerenshaw,168
Ollerenshaw,Trafalgar,336
Nos,Ollerenshaw,56
Beau Brummel,Ollerenshaw,56
Ollerenshaw,Whitaker,56
Butt,Ollerenshaw,2016
Ollerenshaw,Uncle,280
Mester Ollerenshaw,Ollerenshaw,56
Ollerenshaw,Susan - an afternoon,56
Ollerenshaw,Prockter - a,56
George Frederick Handel,Ollerenshaw,56
Ollerenshaw,Robin Adair,56
Ollerenshaw,Yorkshire,280
Confucius,Ollerenshaw,56
Ollerenshaw,Uncle James,392
Ollerenshaw,Shakespearean,56
Ollerenshaw,Sarah Swetnam,840
Ollerenshaw,Swetnam,280
Ollerenshaw,Sally,448
Ollerenshaw,Sarah,1680
Brunt,Ollerenshaw,280
Lilian,Ollerenshaw,112
Andrew Dean,Ollerenshaw,2016
Nell,Ollerenshaw,56
Jane,Ollerenshaw,56
Jimmy,Ollerenshaw,896
Dean,Ollerenshaw,560
Churchman,Ollerenshaw,56
Emanuel,Ollerenshaw,336
Georgiana,Ollerenshaw,1120
Jarndyce,Ollerenshaw,280
Kiel,Ollerenshaw,56
Flora Prockter,Ollerenshaw,56
Flora,Ollerenshaw,56
Ollerenshaw,Ted,56
Ollerenshaw,Ronald,56
Ollerenshaw,Ronald Swetnam,56
Jos,Ollerenshaw,168
Jos Swetman,Ollerenshaw,56
Jos Swetnam,Ollerenshaw,168
Emanuel Prockter's,Ollerenshaw,56
Joe,Ollerenshaw,56
Benskin,Ollerenshaw,112
Andrew,Ollerenshaw,560
Ollerenshaw,Wilbrahams,224
Carey,Ollerenshaw,56
Oldcastle,Ollerenshaw,56
Miser,Ollerenshaw,56
Ollerenshaw,Ye,56
Machiavelli,Ollerenshaw,56
Hanbridge,Ollerenshaw,56
Crewe,Ollerenshaw,224
Bass,Ollerenshaw,56
Helen - she,Ollerenshaw,56
Edinburgh,Ollerenshaw,56
Ollerenshaw,Welsh,56
Hurrah,Ollerenshaw,56
Crump,Ollerenshaw,336
Ezra Brunt,Ollerenshaw,56
Hall,Ollerenshaw,112
Emanuel Prockter - I,Ollerenshaw,56
Ollerenshaw,Ye'll,56
Light,Ollerenshaw,56
Glad,Ollerenshaw,56
Ollerenshaw,Paisley,56
Ollerenshaw,Swetnams,56
Joshua,Ollerenshaw,56
Mont Blanc,Ollerenshaw,56
Don Juan,Ollerenshaw,56
Norseman,Ollerenshaw,56
Buchanan,Ollerenshaw,112
Derby,Ollerenshaw,56
Bechstein,Ollerenshaw,56
Ollerenshaw,Wiltshire,168
Hush,Ollerenshaw,56
Nottingham,Ollerenshaw,56
Lilian Swetnam,Ollerenshaw,56
Fritz,Ollerenshaw,168
Dickens,Ollerenshaw,56
Charles Dickens,Ollerenshaw,56
James,Jimmy Ollerenshaw,1278
Ephraim Tellwright,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Susan,180
Jimmy Ollerenshaw,Longshaw,84
Jimmy Ollerenshaw,Rathbone,18
Helen Rathbone's,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Josiah Wedgwood,6
Helen,Jimmy Ollerenshaw,768
Jimmy Ollerenshaw,Prockter,864
Helen Rathbone,Jimmy Ollerenshaw,12
Bratt,Jimmy Ollerenshaw,42
Glasgow,Jimmy Ollerenshaw,72
Jimmy Ollerenshaw,Moorthorne,12
Avert,Jimmy Ollerenshaw,6
Emanuel Prockter,Jimmy Ollerenshaw,162
Jimmy Ollerenshaw,Prockter  ,6
James Ollerenshaw's,Jimmy Ollerenshaw,18
Jimmy Ollerenshaw,Trafalgar,36
Jimmy Ollerenshaw,Nos,6
Beau Brummel,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Whitaker,6
Butt,Jimmy Ollerenshaw,216
Jimmy Ollerenshaw,Uncle,30
Jimmy Ollerenshaw,Mester Ollerenshaw,6
Jimmy Ollerenshaw,Susan - an afternoon,6
Jimmy Ollerenshaw,Prockter - a,6
George Frederick Handel,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Robin Adair,6
Jimmy Ollerenshaw,Yorkshire,30
Confucius,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Uncle James,42
Jimmy Ollerenshaw,Shakespearean,6
Jimmy Ollerenshaw,Sarah Swetnam,90
Jimmy Ollerenshaw,Swetnam,30
Jimmy Ollerenshaw,Sally,48
Jimmy Ollerenshaw,Sarah,180
Brunt,Jimmy Ollerenshaw,30
Jimmy Ollerenshaw,Lilian,12
Andrew Dean,Jimmy Ollerenshaw,216
Jimmy Ollerenshaw,Nell,6
Jane,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Jimmy Ollerenshaw,15
Jimmy,Jimmy Ollerenshaw,96
Dean,Jimmy Ollerenshaw,60
Churchman,Jimmy Ollerenshaw,6
Emanuel,Jimmy Ollerenshaw,36
Georgiana,Jimmy Ollerenshaw,120
Jarndyce,Jimmy Ollerenshaw,30
Jimmy Ollerenshaw,Kiel,6
Flora Prockter,Jimmy Ollerenshaw,6
Flora,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Ted,6
Jimmy Ollerenshaw,Ronald,6
Jimmy Ollerenshaw,Ronald Swetnam,6
Jimmy Ollerenshaw,Jos,18
Jimmy Ollerenshaw,Jos Swetman,6
Jimmy Ollerenshaw,Jos Swetnam,18
Emanuel Prockter's,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Joe,6
Benskin,Jimmy Ollerenshaw,12
Andrew,Jimmy Ollerenshaw,60
Jimmy Ollerenshaw,Wilbrahams,24
Carey,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Oldcastle,6
Jimmy Ollerenshaw,Miser,6
Jimmy Ollerenshaw,Ye,6
Jimmy Ollerenshaw,Machiavelli,6
Hanbridge,Jimmy Ollerenshaw,6
Crewe,Jimmy Ollerenshaw,24
Bass,Jimmy Ollerenshaw,6
Helen - she,Jimmy Ollerenshaw,6
Edinburgh,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Welsh,6
Hurrah,Jimmy Ollerenshaw,6
Crump,Jimmy Ollerenshaw,36
Ezra Brunt,Jimmy Ollerenshaw,6
Hall,Jimmy Ollerenshaw,12
Emanuel Prockter - I,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Ye'll,6
Jimmy Ollerenshaw,Light,6
Glad,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Paisley,6
Jimmy Ollerenshaw,Swetnams,6
Jimmy Ollerenshaw,Joshua,6
Jimmy Ollerenshaw,Mont Blanc,6
Don Juan,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Norseman,6
Buchanan,Jimmy Ollerenshaw,12
Derby,Jimmy Ollerenshaw,6
Bechstein,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Wiltshire,18
Hush,Jimmy Ollerenshaw,6
Jimmy Ollerenshaw,Nottingham,6
Jimmy Ollerenshaw,Lilian Swetnam,6
Fritz,Jimmy Ollerenshaw,18
Dickens,Jimmy Ollerenshaw,6
Charles Dickens,Jimmy Ollerenshaw,6
Ephraim Tellwright,James,213
James,Susan,6390
James,James,22578
James,Longshaw,2982
James,Rathbone,639
Helen Rathbone's,James,213
James,Josiah Wedgwood,213
Helen,James,27264
James,Prockter,30672
Helen Rathbone,James,426
Bratt,James,1491
Glasgow,James,2556
James,Moorthorne,426
Avert,James,213
Emanuel Prockter,James,5751
James,Prockter  ,213
James,James Ollerenshaw's,639
James,Trafalgar,1278
James,Nos,213
Beau Brummel,James,213
James,Whitaker,213
Butt,James,7668
James,Uncle,1065
James,Mester Ollerenshaw,213
James,Susan - an afternoon,213
James,Prockter - a,213
George Frederick Handel,James,213
James,Robin Adair,213
James,Yorkshire,1065
Confucius,James,213
James,Uncle James,1491
James,Shakespearean,213
James,Sarah Swetnam,3195
James,Swetnam,1065
James,Sally,1704
James,Sarah,6390
Brunt,James,1065
James,Lilian,426
Andrew Dean,James,7668
James,Nell,213
James,Jane,213
James,Jimmy,3408
Dean,James,2130
Churchman,James,213
Emanuel,James,1278
Georgiana,James,4260
James,Jarndyce,1065
James,Kiel,213
Flora Prockter,James,213
Flora,James,213
James,Ted,213
James,Ronald,213
James,Ronald Swetnam,213
James,Jos,639
James,Jos Swetman,213
James,Jos Swetnam,639
Emanuel Prockter's,James,213
James,Joe,213
Benskin,James,426
Andrew,James,2130
James,Wilbrahams,852
Carey,James,213
James,Oldcastle,213
